epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,215.098,0.68017,1.02928,2.23753,1.2215,0.01341,1,0.59617,0.52776,0.01341,1,0.59617,0.47273,0.41407,1.1781,3.56637,0.91667,0.000138617,0.000138617,0.000138617
30,222.192,0.58862,0.94927,2.17592,1.05622,0.01341,1,0.59617,0.52776,0.01341,1,0.59617,0.47273,0.41407,1.1781,3.56637,0.91667,0.000137189,0.000137189,0.000137189
31,229.575,0.7694,1.11007,2.56044,1.1872,0.01437,1,0.6129,0.55084,0.01437,1,0.6129,0.48748,0.38145,1.16936,3.55515,0.88888,0.00013532,0.00013532,0.00013532
32,237.063,0.64702,0.91882,2.25227,1.15223,0.01437,1,0.6129,0.55084,0.01437,1,0.6129,0.48748,0.38145,1.16936,3.55515,0.88888,0.000133011,0.000133011,0.000133011
33,244.252,0.60212,0.84372,2.06127,1.06428,0.01473,1,0.56857,0.52152,0.01473,1,0.57617,0.45852,0.36045,1.15917,3.51246,0.8764,0.000130263,0.000130263,0.000130263
34,251.399,0.5488,0.71413,1.91457,1.06901,0.01473,1,0.56857,0.52152,0.01473,1,0.57617,0.45852,0.36045,1.15917,3.51246,0.8764,0.000127074,0.000127074,0.000127074
35,258.916,0.74511,1.53179,2.25582,1.08415,0.01414,1,0.55677,0.51183,0.01414,1,0.55677,0.46604,0.35304,1.137,3.45522,0.8734,0.000123445,0.000123445,0.000123445
36,266.308,0.65988,1.34715,2.29403,1.20542,0.01414,1,0.55677,0.51183,0.01414,1,0.55677,0.46604,0.35304,1.137,3.45522,0.8734,0.000119377,0.000119377,0.000119377
37,273.541,0.68395,1.03603,2.08822,1.19244,0.01453,1,0.55537,0.5314,0.01453,1,0.55537,0.4649,0.34135,1.03852,3.38822,0.86021,0.000114869,0.000114869,0.000114869
38,280.747,0.62057,1.10997,2.14403,1.09941,0.01453,1,0.55537,0.5314,0.01453,1,0.55537,0.4649,0.34135,1.03852,3.38822,0.86021,0.00010992,0.00010992,0.00010992
39,288.048,0.64309,1.00293,2.03451,1.06488,0.0132,1,0.56457,0.54114,0.0132,1,0.5679,0.47296,0.35461,0.93468,3.31258,0.87697,0.000104532,0.000104532,0.000104532
